gene_id,regulation,tissue_id
8555,AuG,2240
57478,AuG,1896
7381,AuG,1896
91298,AuG,1896
205564,AuG,1893
10313,AuG,2037
64744,AuG,955
2555,AuG,955
9543,AuG,955
29937,AuG,955
996,AuG,1891
80129,AuG,955
58526,AuG,1893
10120,AuG,955
4915,AuG,1891
57575,AuG,1891
613212,AuG,1891
152687,AuG,2037
283455,AuG,2037
2746,AuG,2240
9764,AuG,1896
1434,AuG,1891
4134,AuG,2240
283987,AuG,1891
5375,AuG,2037
4750,AuG,2240
79608,AuG,955
84765,AuG,2240
394,AuG,2037
84435,AuG,955
65975,AuG,955
2893,AuG,2037
283554,AuG,955
80003,AuG,1893
91120,AuG,955
54549,AuG,1891
10026,AuG,1896
114803,AuG,955
10586,AuG,1891
7846,AuG,1891
246330,AuG,955
51400,AuG,955
4436,AuG,1891
23710,AuG,955
6121,AuG,955
9201,AuG,1891
10726,AuG,955
2086,AuG,955
51176,AuG,1896
745,AuG,1893
140465,AuG,955
80196,AuG,1896
8099,AuG,955
259232,AuG,1891
283420,AuG,955
285643,AuG,955
9338,AuG,1893
118442,AuG,1891
10439,AuG,1891
57415,AuG,1893
774,AuG,1891
1603,AuG,2240
9363,AuG,2240
1795,AuG,1893
9737,AuG,1891
10231,AuG,1896
375593,AuG,2037
23125,AuG,2037
57446,AuG,2037
57719,AuG,2240
5217,AuG,955
83850,AuG,2037
287,AuG,955
57709,AuG,955
60468,AuG,2037
197342,AuG,2037
5049,AuG,2037
376497,AuG,1896
79180,AuG,1896
10267,AuG,2240
56270,AuG,1896
1028,AuG,1891
762,AuG,2037
94081,AuG,1891
25830,AuG,2240
23657,AuG,2037
23059,AuG,2240
23309,AuG,2037
9025,AuG,1893
6751,AuG,955
2670,AuG,2037
66036,AuG,1891
2318,AuG,2240
59345,AuG,2240
9755,AuG,955
5192,AuG,2240
4137,AuG,2037
6457,AuG,2240
79839,AuG,955
23271,AuG,1891
9213,AuG,1891
80013,AuG,2240
124491,AuG,2240
9253,AuG,955
57662,AuG,955
1718,AuG,2240
26278,AuG,1891
9088,AuG,955
9793,AuG,2037
161,AuG,2037
163175,AuG,2240
9372,AuG,955
56896,AuG,1891
27175,AuG,2240
200894,AuG,2240
26115,AuG,1891
214,AuG,1896
55638,AuG,1896
374819,AuG,955
23208,AuG,2240
342918,AuG,2037
4134,AuG,1891
4723,AuG,1891
84333,AuG,2240
9922,AuG,2240
26147,AuG,955
9185,AuG,955
259236,AuG,1896
23558,AuG,1893
409,AuG,1891
10277,AuG,955
2532,AuG,2037
2563,AuG,1891
2786,AuG,2037
2246,AuG,955
53917,AuG,2037
1995,AuG,1896
94032,AuG,955
83989,AuG,2240
3309,AuG,2240
10165,AuG,2240
55717,AuG,2240
9435,AuG,2240
50488,AuG,1891
26025,AuG,2037
23314,AuG,2240
23031,AuG,955
51428,AuG,955
375298,AuG,2037
392617,AuG,955
4168,AuG,1896
1964,AuG,1891
114900,AuG,955
121274,AuG,1896
4675,AuG,1891
30011,AuG,2240
25789,AuG,2037
84132,AuG,2037
50636,AuG,955
254528,AuG,955
3925,AuG,2240
4753,AuG,2037
54769,AuG,1891
23040,AuG,1896
4715,AuG,1891
10380,AuG,1896
2764,AuG,2240
29942,AuG,1891
5814,AuG,2037
1639,AuG,1893
79577,AuG,2240
256714,AuG,2240
440145,AuG,1896
5985,AuG,1896
22895,AuG,1893
84964,AuG,1896
5799,AuG,1891
